time,value,n
2006-01-01,31,1
2006-01-02,17,1
2006-01-03,100,1
2006-01-04,0,1
2006-01-05,34,1
2006-01-06,20,1
2006-01-07,0,1
2006-01-08,0,1
2006-01-09,60,1
2006-01-10,15,1
2006-01-11,15,1
2006-01-12,32,1
2006-01-13,52,1
2006-01-14,0,1
2006-01-15,0,1
2006-01-16,30,2
2006-01-17,15,2
2006-01-18,23,2
2006-01-19,32.5,2
2006-01-20,0,2
2006-01-21,0,2
2006-01-22,10.5,2
2006-01-23,29.5,2
2006-01-24,15,2
2006-01-25,7.5,2
2006-01-26,16,2
2006-01-27,17,2
2006-01-28,12,2
2006-01-29,51.5,2
2006-01-30,28.5,2
2006-01-31,27,3
2006-02-01,47.666666666666664,3
2006-02-02,11,3
2006-02-03,18,3
2006-02-04,15.333333333333334,3
2006-02-05,39.333333333333336,3
2006-02-06,43.666666666666664,3
2006-02-07,30,3
2006-02-08,4.666666666666667,3
2006-02-09,48.666666666666664,3
2006-02-10,23.666666666666668,3
2006-02-11,0,3
2006-02-12,21.666666666666668,3
2006-02-13,4.666666666666667,3
2006-02-14,5,3
2006-02-15,31,4
2006-02-16,7.25,4
2006-02-17,26.5,4
2006-02-18,29.5,4
2006-02-19,31,4
2006-02-20,0,4
2006-02-21,27,4
2006-02-22,45.5,4
2006-02-23,65.75,4
2006-02-24,35.5,4
2006-02-25,14.5,4
2006-02-26,5.5,4
2006-02-27,11.75,4
2006-02-28,19,4
2006-03-01,26.25,4
2006-03-02,33.8,5
2006-03-03,21.8,5
2006-03-04,16.8,5
2006-03-05,22,5
2006-03-06,40.4,5
2006-03-07,3.8,5
2006-03-08,38.4,5
2006-03-09,32.8,5
2006-03-10,0,5
2006-03-11,9.2,5
2006-03-12,5.2,5
2006-03-13,39.2,5
2006-03-14,27.6,5
2006-03-15,31.8,5
2006-03-16,25.6,5
2006-03-17,8.833333333333334,6
2006-03-18,13.5,6
2006-03-19,6.5,6
2006-03-20,6.833333333333333,6
2006-03-21,35.5,6
2006-03-22,32.166666666666664,6
2006-03-23,27.166666666666668,6
2006-03-24,18.5,6
2006-03-25,42,6
2006-03-26,42,6
2006-03-27,27.833333333333332,6
2006-03-28,41.166666666666664,6
2006-03-29,36,6
2006-03-30,30.833333333333332,6
2006-03-31,25.666666666666668,6
2006-04-01,9.857142857142858,7
2006-04-02,42,7
2006-04-03,34.142857142857146,7
2006-04-04,27.428571428571427,7
2006-04-05,22.571428571428573,7
2006-04-06,28.571428571428573,7
2006-04-07,18.285714285714285,7
2006-04-08,12,7
2006-04-09,19.285714285714285,7
2006-04-10,56,7
2006-04-11,14.285714285714286,7
2006-04-12,19,7
2006-04-13,5.428571428571429,7
2006-04-14,27.857142857142858,7
2006-04-15,17.571428571428573,7
2006-04-16,16,8
2006-04-17,0,8
2006-04-18,19.125,8
2006-04-19,54,8
2006-04-20,29.625,8
2006-04-21,35.5,8
2006-04-22,25.375,8
2006-04-23,32.5,8
2006-04-24,34.875,8
2006-04-25,26.375,8
2006-04-26,26.5,8
2006-04-27,33.625,8
2006-04-28,11.25,8
2006-04-29,25.375,8
2006-04-30,21.75,8
2006-05-01,33.44444444444444,9
2006-05-02,40.333333333333336,9
2006-05-03,33.22222222222222,9
2006-05-04,44.888888888888886,9
2006-05-05,24.666666666666668,9
2006-05-06,0,9
2006-05-07,36.333333333333336,9
2006-05-08,23.333333333333332,9
2006-05-09,10.222222222222221,9
2006-05-10,29,9
2006-05-11,4.333333333333333,9
2006-05-12,10.666666666666666,9
2006-05-13,9.666666666666666,9
2006-05-14,48.77777777777778,9
2006-05-15,76.22222222222223,9
2006-05-16,15.3,10
2006-05-17,64.6,10
2006-05-18,43.3,10
2006-05-19,29.9,10
2006-05-20,11.7,10
2006-05-21,19.2,10
2006-05-22,14.8,10
2006-05-23,21.1,10
2006-05-24,23.8,10
2006-05-25,4.7,10
2006-05-26,28.2,10
2006-05-27,13.3,10
2006-05-28,35.2,10
2006-05-29,25.4,10
2006-05-30,17,10
2006-05-31,24.09090909090909,11
2006-06-01,27.90909090909091,11
2006-06-02,22.636363636363637,11
2006-06-03,10.727272727272727,11
2006-06-04,7.090909090909091,11
2006-06-05,32.45454545454545,11
2006-06-06,47.81818181818182,11
2006-06-07,32.27272727272727,11
2006-06-08,30.818181818181817,11
2006-06-09,29.818181818181817,11
2006-06-10,0,11
